Date,Macro_Sentiment,Macro_News_Volume,Macro_Sentiment_3d
2021-03-31,0.1129625,8,0.19462527777777783
2021-04-01,0.11707142857142856,7,0.121855753968254
2021-04-05,-0.3511333333333333,3,-0.0403664682539682
2021-04-06,0.17822500000000002,4,-0.018612301587301528
2021-04-07,0.0,2,-0.057636111111111055
2021-04-08,0.13006666666666666,6,0.10276388888888893
2021-04-09,0.10846,5,0.07950888888888892
2021-04-12,0.0,4,0.07950888888888892
2021-04-13,0.0,4,0.03615333333333337
2021-04-14,0.10115,2,0.03371666666666671
2021-04-15,-0.17,2,-0.022949999999999967
2021-04-16,0.30953333333333327,3,0.08022777777777779
2021-04-19,0.002457142857142856,7,0.04733015873015873
2021-04-20,-0.05352499999999999,4,0.08615515873015876
2021-04-21,-0.15495,6,-0.06867261904761902
2021-04-22,0.0054,2,-0.06769166666666664
2021-04-23,0.16415,4,0.004866666666666686
2021-04-26,0.6369,1,0.2688166666666667
2021-04-27,0.00274285714285715,7,0.26793095238095244
2021-04-28,-0.12422,5,0.1718076190476191
2021-04-29,0.1589,3,0.012474285714285752
2021-04-30,0.11140000000000001,7,0.04869333333333337
2021-05-03,0.22296666666666667,6,0.16442222222222225
2021-05-04,0.07044444444444445,9,0.13493703703703708
2021-05-05,0.09746666666666666,3,0.13029259259259263
2021-05-06,0.09035000000000001,2,0.08608703703703706
2021-05-07,0.06705000000000001,4,0.08495555555555558
2021-05-10,0.008440000000000003,10,0.05528000000000003
2021-05-11,-0.056575,4,0.006305000000000023
2021-05-12,-0.160125,8,-0.06941999999999998
2021-05-13,-0.09106666666666667,3,-0.10258888888888885
2021-05-14,0.016599999999999993,3,-0.07819722222222221
2021-05-17,-0.17184000000000002,5,-0.0821022222222222
2021-05-18,0.0,6,-0.05174666666666664
2021-05-19,0.5719,1,0.13335333333333335
2021-05-20,-0.08038,5,0.16384
2021-05-21,-0.20095,2,0.0968566666666667
2021-05-24,-0.017512499999999993,8,-0.09961416666666661
2021-05-25,0.0,2,-0.07282083333333328
2021-05-26,0.10533999999999999,5,0.029275833333333372
2021-05-27,0.42948000000000003,5,0.17827333333333337
2021-05-28,-0.015333333333333338,6,0.17316222222222225
2021-06-01,0.20461666666666667,6,0.2062544444444445
2021-06-02,0.10686,5,0.09871444444444448
2021-06-03,0.2238,5,0.1784255555555556
2021-06-04,0.01516666666666667,6,0.11527555555555558
2021-06-07,0.070025,8,0.10299722222222225
2021-06-08,0.09795000000000001,4,0.061047222222222274
2021-06-09,0.2607,3,0.14289166666666672
2021-06-10,0.3256333333333334,3,0.22809444444444452
2021-06-11,-0.5209,1,0.021811111111111153
2021-06-14,0.4019,1,0.0688777777777778
2021-06-15,-0.050575,4,-0.056525
2021-06-16,0.09755000000000001,6,0.149625
2021-06-17,-0.2083,3,-0.05377499999999999
2021-06-18,0.0,1,-0.03691666666666665
2021-06-21,0.0,6,-0.06943333333333333
2021-06-22,0.31845,2,0.10615000000000001
2021-06-23,-0.12040000000000001,3,0.06601666666666667
2021-06-24,0.18783333333333332,3,0.12862777777777779
2021-06-25,0.07039999999999999,5,0.045944444444444434
2021-06-28,0.062139999999999994,10,0.1067911111111111
2021-06-29,0.26788,5,0.13347333333333333
2021-06-30,0.04046,5,0.12349333333333333
2021-07-01,0.07294,5,0.12709333333333334
2021-07-02,0.14264000000000002,5,0.08534666666666668
2021-07-06,0.17770000000000002,2,0.13109333333333337
2021-07-07,0.20934285714285714,7,0.17656095238095237
2021-07-08,0.5362,2,0.30774761904761905
2021-07-09,0.24925000000000003,2,0.33159761904761903
2021-07-12,0.1585,3,0.31465000000000004
2021-07-13,0.00883333333333334,6,0.13886111111111113
2021-07-14,0.0,4,0.05577777777777778
2021-07-15,0.03148333333333333,6,0.013438888888888889
2021-07-16,0.20755,4,0.07967777777777778
2021-07-19,-0.04795714285714286,7,0.0636920634920635
2021-07-20,0.022325000000000005,8,0.06063928571428572
2021-07-21,0.33895,4,0.10443928571428569
2021-07-22,-0.020099999999999993,8,0.11372499999999998
2021-07-23,-0.0127,4,0.10204999999999999
2021-07-26,0.13556,5,0.03425333333333334
2021-07-27,0.2202,2,0.11435333333333335
2021-07-28,-0.4215,2,-0.021913333333333323
2021-07-29,-0.06743333333333333,3,-0.08957777777777777
2021-07-30,0.0946,4,-0.13144444444444445
2021-08-02,0.465775,4,0.1643138888888889
2021-08-03,0.14846666666666666,3,0.23628055555555552
2021-08-04,0.17020000000000002,3,0.26148055555555555
2021-08-05,0.0978,4,0.1388222222222222
2021-08-06,0.34368000000000004,5,0.20389333333333337
2021-08-09,-0.007200000000000012,4,0.14476000000000003
2021-08-10,0.0,1,0.11216000000000004
2021-08-11,-0.044475,4,-0.017225000000000004
2021-08-13,-0.02692500000000002,4,-0.023800000000000005
2021-08-16,0.20167142857142858,7,0.043423809523809524
2021-08-17,-0.0824625,8,0.030761309523809528
2021-08-18,0.04572500000000001,12,0.0549779761904762
2021-08-19,0.11333333333333334,6,0.025531944444444454
2021-08-20,0.10115,2,0.08673611111111112
2021-08-23,0.0,2,0.07149444444444446
2021-08-24,-0.13472,5,-0.011189999999999997
2021-08-25,0.0037600000000000077,5,-0.04365333333333333
2021-08-26,-0.10694999999999999,6,-0.07930333333333332
2021-08-27,0.18964999999999999,4,0.028820000000000012
2021-08-30,0.16772857142857142,7,0.08347619047619048
2021-08-31,0.17020000000000002,3,0.17585952380952383
2021-09-01,0.054700000000000026,7,0.1308761904761905
2021-09-02,-0.013874999999999998,4,0.07034166666666669
2021-09-03,0.29636,5,0.11239500000000002
2021-09-07,0.0,3,0.09416166666666669
2021-09-08,0.059199999999999996,5,0.11852000000000001
2021-09-09,-0.2194,3,-0.0534
2021-09-10,0.0,1,-0.0534
2021-09-13,0.0,1,-0.07313333333333334
2021-09-14,0.18871666666666664,6,0.06290555555555555
2021-09-15,0.0868,11,0.09183888888888887
2021-09-16,-0.11846666666666668,3,0.05234999999999999
2021-09-17,-0.06755,4,-0.033072222222222225
2021-09-20,0.0848,8,-0.03373888888888889
2021-09-21,-0.10715999999999999,5,-0.029969999999999997
2021-09-22,0.08895,2,0.02219666666666667
2021-09-23,0.23225,4,0.07134666666666667
2021-09-24,-0.0041999999999999815,6,0.10566666666666667
2021-09-27,0.03225555555555556,9,0.08676851851851852
2021-09-28,-0.027357142857142858,7,0.00023280423280423965
2021-09-29,0.016899999999999984,9,0.007266137566137562
2021-09-30,0.144275,4,0.044605952380952364
2021-10-01,-0.046966666666666664,6,0.038069444444444434
2021-10-04,0.0337625,8,0.043690277777777765
2021-10-05,0.05296666666666667,3,0.013254166666666664
2021-10-06,-0.045940000000000016,5,0.013596388888888882
2021-10-07,0.36564,5,0.12422222222222222
2021-10-08,-0.130575,4,0.06304166666666666
2021-10-11,0.32989999999999997,5,0.18832166666666664
2021-10-12,-0.05464,5,0.04822833333333331
2021-10-13,0.0,4,0.09175333333333331
2021-10-14,0.10065714285714285,7,0.015339047619047605
2021-10-15,0.0,3,0.03355238095238094
2021-10-18,0.24678,5,0.11581238095238093
2021-10-19,0.11717999999999999,5,0.12131999999999998
2021-10-20,0.03947142857142857,7,0.13447714285714285
2021-10-21,0.3118714285714286,7,0.1561742857142857
2021-10-22,-0.0903,4,0.08701428571428571
2021-10-25,0.0,3,0.07385714285714286
2021-10-26,-0.1489,4,-0.07973333333333334
2021-10-27,0.1472571428571429,7,-0.0005476190476190468
2021-10-28,0.021740000000000016,5,0.00669904761904763
2021-10-29,0.12262222222222222,9,0.09720645502645504
2021-11-01,0.12632727272727273,11,0.09022983164983166
2021-11-02,0.12304999999999999,4,0.12399983164983164
2021-11-03,0.14985,4,0.1330757575757576
2021-11-04,0.2878,5,0.18689999999999998
2021-11-05,0.03256,5,0.15673666666666666
2021-11-08,0.028587499999999995,8,0.11631583333333333
2021-11-09,0.04201666666666667,6,0.03438805555555554
2021-11-10,-0.1278375,8,-0.019077777777777794
2021-11-11,0.0,3,-0.02860694444444446
2021-11-12,0.23201999999999998,5,0.034727499999999974
2021-11-15,-0.13894,5,0.031026666666666636
2021-11-16,-0.0392,7,0.017959999999999973
2021-11-17,0.0,6,-0.05938000000000002
2021-11-18,0.049483333333333344,6,0.003427777777777768
2021-11-19,-0.023645454545454546,11,0.008612626262626252
2021-11-22,0.06408333333333334,12,0.029973737373737364
2021-11-23,0.06342,5,0.034619292929292916
2021-11-24,-0.11148,5,0.005341111111111102
2021-11-26,-0.32985,2,-0.12597
2021-11-29,-0.0822,8,-0.17451000000000003
2021-11-30,0.033273333333333335,15,-0.1262588888888889
2021-12-01,-0.04064444444444443,9,-0.029857037037037047
2021-12-02,0.06826666666666667,9,0.020298518518518507
2021-12-03,0.07605714285714285,7,0.034559788359788346
2021-12-06,0.11747,10,0.08726460317460316
